=== ISM Merge Tree Simplification Statistics ===

Total chains: 149
Total nodes kept: 514

ChainId,NodeCount
0,5
1,4
2,4
3,4
4,5
5,4
6,6
7,4
8,4
9,4
10,5
11,6
12,5
13,3
14,3
15,2
16,5
17,5
18,2
19,5
20,2
21,6
22,5
23,6
24,4
25,6
26,4
27,5
28,2
29,5
30,2
31,4
32,6
33,6
34,7
35,3
36,3
37,3
38,5
39,6
40,5
41,5
42,3
43,4
44,4
45,4
46,3
47,4
48,6
49,6
50,6
51,2
52,7
53,7
54,2
55,7
56,6
57,4
58,2
59,4
60,6
61,4
62,2
63,4
64,4
65,7
66,6
67,5
68,4
69,4
70,3
71,4
72,5
73,6
74,6
75,5
76,6
77,3
78,4
79,3
80,6
81,5
82,4
83,3
84,3
85,4
86,2
87,7
88,3
89,6
90,2
91,6
92,7
93,4
94,2
95,5
96,4
97,3
98,5
99,7
100,5
101,4
102,4
103,4
104,7
105,4
106,5
107,3
108,6
109,4
110,7
111,2
112,2
113,5
114,3
115,3
116,3
117,5
118,7
119,6
120,5
121,3
122,5
123,5
124,3
125,6
126,4
127,7
128,6
129,4
130,2
131,4
132,2
133,3
134,3
135,4
136,5
137,7
138,6
139,3
140,6
141,3
142,6
143,6
144,3
145,6
146,4
147,4
148,7
